No errors
No warnings
263 ms
data source=metars
4811 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
CYRJ 061523Z CCA 09008G15KT 2SM SHRA BR OVC010 05/04 A2957 RMK FG6SF2 CVCTV CLD EMBD SLP021,CYRJ,2017-05-06T15:23:00Z,48.52,-72.27,5.0,4.0,90,8,15,2.0,29.568897,1002.1,,,,,,,,,SHRA BR,OVC,1000,,,,,,,IFR,,,,,,,,,,,,SPECI,179.0
KDVP 061523Z AUTO 00000KT 10SM CLR 17/00 A3000 RMK AO2 T01680003,KDVP,2017-05-06T15:23:00Z,43.98,-95.78,16.8,0.3,0,0,,10.0,30.0,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,495.0
KHMN 061522Z AUTO 23004KT 1 3/4SM HZ CLR 22/M03 A3003 RMK AO2 SLP099 $,KHMN,2017-05-06T15:22:00Z,32.85,-106.08,22.0,-3.0,230,4,,1.75,30.029528,1009.9,,TRUE,TRUE,TRUE,,,,,HZ,CLR,,,,,,,,IFR,,,,,,,,,,,,SPECI,1248.0
KPSM 061522Z 110030KT 1 1/4SM BR OVC002 14/14 A2955 RMK AO2A VIS SE 3/4,KPSM,2017-05-06T15:22:00Z,43.07,-70.82,14.0,14.0,110,30,,1.25,29.551182,,,,TRUE,,,,,,BR,OVC,200,,,,,,,LIFR,,,,,,,,,,,,SPECI,31.0
KWST 061522Z AUTO 16009KT 4SM BR OVC002 13/13 A2953 RMK AO2 RAE10 P0000 T01330128,KWST,2017-05-06T15:22:00Z,41.35,-71.8,13.3,12.8,160,9,,4.0,29.530512,,,TRUE,TRUE,,,,,,BR,OVC,200,,,,,,,LIFR,,,,,,0.005,,,,,,SPECI,21.0
KPIT 061522Z 29014KT 7SM -RA SCT012 BKN019 OVC025 08/06 A2949 RMK AO2 P0001 T00780061,KPIT,2017-05-06T15:22:00Z,40.5,-80.27,7.8,6.1,290,14,,7.0,29.489174,,,,TRUE,,,,,,-RA,SCT,1200,BKN,1900,OVC,2500,,,MVFR,,,,,,0.01,,,,,,SPECI,357.0
KMPV 061522Z AUTO 16008G18KT 10SM OVC015 15/13 A2949 RMK AO2 T01500133,KMPV,2017-05-06T15:22:00Z,44.2,-72.57,15.0,13.3,160,8,18,10.0,29.489174,,,TRUE,TRUE,,,,,,,OVC,1500,,,,,,,MVFR,,,,,,,,,,,,SPECI,343.0
KDAW 061522Z AUTO 02004KT 1/2SM FG OVC002 13/12 A2954 RMK AO2 T01280117,KDAW,2017-05-06T15:22:00Z,43.28,-70.92,12.8,11.7,20,4,,0.5,29.53937,,,TRUE,TRUE,,,,,,FG,OVC,200,,,,,,,LIFR,,,,,,,,,,,,SPECI,100.0
CYEV 061522Z 00000KT 5SM BR OVC004 M02/M04 A3007 RMK ST8 SLP189,CYEV,2017-05-06T15:22:00Z,68.32,-133.5,-2.0,-4.0,0,0,,5.0,30.070866,1018.9,,,,,,,,,BR,OVC,400,,,,,,,LIFR,,,,,,,,,,,,SPECI,68.0
CYGK 061522Z 02004KT 3SM -RADZ BR BKN003 OVC007 11/10 A2928 RMK SF6SF2 CIG RAG SLP919 DENSITY ALT 600FT,CYGK,2017-05-06T15:22:00Z,44.22,-76.58,11.0,10.0,20,4,,3.0,29.279528,991.9,,,,,,,,,-RA -DZ BR,BKN,300,OVC,700,,,,,LIFR,,,,,,,,,,,,SPECI,93.0
CYPR 061522Z AUTO 28007KT 240V310 9SM -RA FEW023 BKN034 OVC048 07/04 A3002 RMK SLP167,CYPR,2017-05-06T15:22:00Z,54.28,-130.42,7.0,4.0,280,7,,9.0,30.02067,1016.7,,TRUE,,,,,,,-RA,FEW,2300,BKN,3400,OVC,4800,,,VFR,,,,,,,,,,,,SPECI,34.0
CYMT 061522Z AUTO 06009KT 4SM -RA BR OVC006 04/03 A2959 RMK SLP038,CYMT,2017-05-06T15:22:00Z,49.77,-74.52,4.0,3.0,60,9,,4.0,29.589567,1003.8,,TRUE,,,,,,,-RA BR,OVC,600,,,,,,,IFR,,,,,,,,,,,,SPECI,387.0
K0CO 061522Z AUTO 29013G26KT 10SM CLR 06/00 A3042 RMK AO2,K0CO,2017-05-06T15:22:00Z,39.8,-105.77,6.0,0.0,290,13,26,10.0,30.41929,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,3807.0
CYTE 061521Z AUTO 29018KT 5/8SM -SN VV010 M08/M09 A3009 RMK SLP198,CYTE,2017-05-06T15:21:00Z,64.22,-76.52,-8.0,-9.0,290,18,,0.63,30.088583,1019.8,,TRUE,,,,,,,-SN,OVX,0,,,,,,,LIFR,,,,,,,,,,,1000,SPECI,47.0
KNUI 061521Z AUTO 21013KT 10SM SCT030 OVC039 17/11 A2943 RMK AO2 T01670111,KNUI,2017-05-06T15:21:00Z,38.15,-76.43,16.7,11.1,210,13,,10.0,29.430119,,,TRUE,TRUE,,,,,,,SCT,3000,OVC,3900,,,,,VFR,,,,,,,,,,,,SPECI,7.0
CYDL 061521Z AUTO VRB07KT 9SM OVC049 03/02 A2977 RMK SLP098,CYDL,2017-05-06T15:21:00Z,58.42,-130.02,3.0,2.0,0,7,,9.0,29.769686,1009.8,,TRUE,,,,,,,,OVC,4900,,,,,,,VFR,,,,,,,,,,,,SPECI,816.0
KCGS 061521Z AUTO 28006KT 10SM SCT020 SCT029 OVC050 14/11 A2941 RMK AO1 T01350108,KCGS,2017-05-06T15:21:00Z,38.98,-76.92,13.5,10.8,280,6,,10.0,29.409449,,,TRUE,TRUE,,,,,,,SCT,2000,SCT,2900,OVC,5000,,,VFR,,,,,,,,,,,,SPECI,15.0
K2W6 061521Z AUTO 22010G17KT 10SM SCT029 BKN037 OVC050 16/10 A2944 RMK AO1,K2W6,2017-05-06T15:21:00Z,38.32,-76.55,16.0,10.0,220,10,17,10.0,29.438976,,,TRUE,TRUE,,,,,,,SCT,2900,BKN,3700,OVC,5000,,,VFR,,,,,,,,,,,,SPECI,44.0
KGTB 061521Z AUTO 26009G16KT 10SM BKN002 OVC035 13/11 A2928 RMK AO2 RAE11DZB11E21 CIG 002V038 BKN V SCT PRESRR SLP916,KGTB,2017-05-06T15:21:00Z,44.07,-75.72,13.0,11.0,260,9,16,10.0,29.279528,991.6,,TRUE,TRUE,,,,,,,BKN,200,OVC,3500,,,,,LIFR,,,,,,,,,,,,SPECI,207.0
KADW 061521Z AUTO 28011G17KT 6SM -RA BR SCT011 OVC031 13/11 A2941 RMK AO2 CIG 008 RWY19L SLP965 $,KADW,2017-05-06T15:21:00Z,38.82,-76.87,13.0,11.0,280,11,17,6.0,29.409449,996.5,,TRUE,TRUE,TRUE,,,,,-RA BR,SCT,1100,OVC,3100,,,,,VFR,,,,,,,,,,,,SPECI,86.0
KTWF 061521Z 27010KT 1/2SM FG VV003 11/11 A2977 RMK AO2 T01060106,KTWF,2017-05-06T15:21:00Z,42.48,-114.48,10.6,10.6,270,10,,0.5,29.769686,,,,TRUE,,,,,,FG,OVX,0,,,,,,,LIFR,,,,,,,,,,,300,SPECI,1266.0
KOXR 061521Z 26011KT 2 1/2SM BR OVC005 13/12 A2982 RMK AO2 CIG 004V009 T01280122,KOXR,2017-05-06T15:21:00Z,34.2,-119.2,12.8,12.2,260,11,,2.5,29.819881,,,,TRUE,,,,,,BR,OVC,500,,,,,,,IFR,,,,,,,,,,,,SPECI,20.0
KILM 061521Z AUTO 27013KT 10SM BKN028 OVC037 15/09 A2962 RMK AO2 T01500094,KILM,2017-05-06T15:21:00Z,34.27,-77.9,15.0,9.4,270,13,,10.0,29.619095,,,TRUE,TRUE,,,,,,,BKN,2800,OVC,3700,,,,,MVFR,,,,,,,,,,,,SPECI,9.0
KHSE 061521Z AUTO 25016G22KT 5SM HZ BKN027 20/12 A2956 RMK AO2 T02000122 TSNO,KHSE,2017-05-06T15:21:00Z,35.23,-75.62,20.0,12.2,250,16,22,5.0,29.56004,,,TRUE,TRUE,,,TRUE,,,HZ,BKN,2700,,,,,,,MVFR,,,,,,,,,,,,SPECI,3.0
KCMA 061521Z 24009KT 2 1/2SM -RA BR BKN006 OVC011 14/13 A2982 RMK AO2 RAB16 CIG 004V008 P0000 T01440133,KCMA,2017-05-06T15:21:00Z,34.22,-119.1,14.4,13.3,240,9,,2.5,29.819881,,,,TRUE,,,,,,-RA BR,BKN,600,OVC,1100,,,,,IFR,,,,,,0.005,,,,,,SPECI,23.0
KBFD 061521Z AUTO 29011KT 3SM RA BR OVC004 05/04 A2936 RMK AO2 P0004 T00500044,KBFD,2017-05-06T15:21:00Z,41.8,-78.63,5.0,4.4,290,11,,3.0,29.359253,,,TRUE,TRUE,,,,,,RA BR,OVC,400,,,,,,,LIFR,,,,,,0.04,,,,,,SPECI,647.0
CYOY 061521Z AUTO 09010KT 070V130 1 1/4SM +RA VV005 10/06 A2957,CYOY,2017-05-06T15:21:00Z,46.88,-71.5,10.0,6.0,90,10,,1.25,29.568897,,,TRUE,,,,,,,+RA,OVX,0,,,,,,,LIFR,,,,,,,,,,,500,SPECI,168.0
CYOO 061521Z AUTO 35017G23KT 9SM FEW015 OVC025 08/06 A2933 RMK SLP937,CYOO,2017-05-06T15:21:00Z,43.92,-78.9,8.0,6.0,350,17,23,9.0,29.329725,993.7,,TRUE,,,,,,,,FEW,1500,OVC,2500,,,,,MVFR,,,,,,,,,,,,SPECI,139.0
ESNL 061520Z AUTO 04004KT 360V080 9999 FEW047/// OVC059/// 08/M04 Q1019,ESNL,2017-05-06T15:20:00Z,64.55,18.72,8.0,-4.0,40,4,,6.21,30.088583,,,TRUE,,,,,,,,FEW,4700,OVC,5900,,,,,VFR,,,,,,,,,,,,METAR,214.0
ESUT 061520Z AUTO 32011KT 9999 NCD 02/M04 Q1019,ESUT,2017-05-06T15:20:00Z,65.8,15.08,2.0,-4.0,320,11,,6.21,30.088583,,,TRUE,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,463.0
ESNX 061520Z AUTO VRB03KT 9999 OVC044/// 04/M05 Q1019,ESNX,2017-05-06T15:20:00Z,65.58,19.28,4.0,-5.0,0,3,,6.21,30.088583,,,TRUE,,,,,,,,OVC,4400,,,,,,,VFR,,,,,,,,,,,,METAR,379.0
ESUD 061520Z AUTO 10004KT 060V140 9999 OVC057/// 08/M03 Q1018,ESUD,2017-05-06T15:20:00Z,64.97,17.7,8.0,-3.0,100,4,,6.21,30.059055,,,TRUE,,,,,,,,OVC,5700,,,,,,,VFR,,,,,,,,,,,,METAR,279.0
KBDL 061520Z 16014KT 10SM SCT019 BKN038 OVC048 18/14 A2946 RMK AO2 T01780139,KBDL,2017-05-06T15:20:00Z,41.93,-72.68,17.8,13.9,160,14,,10.0,29.459646,,,,TRUE,,,,,,,SCT,1900,BKN,3800,OVC,4800,,,VFR,,,,,,,,,,,,SPECI,60.0
KQFX 061520Z AUTO 09001KT 9999 CLR 09/05 A2999 RMK A02 TSNO,KQFX,2017-05-06T15:20:00Z,,,9.0,5.0,90,1,,6.21,29.991142,,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,
KQFW 061520Z AUTO 24002KT 9999 CLR 10/02 A2999 RMK A02 TSNO,KQFW,2017-05-06T15:20:00Z,,,10.0,2.0,240,2,,6.21,29.991142,,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,
KQFV 061520Z AUTO 30005KT 9999 CLR 10/M02 A2998 RMK A02 TSNO,KQFV,2017-05-06T15:20:00Z,,,10.0,-2.0,300,5,,6.21,29.97933,,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,
KQFU 061520Z AUTO 25002KT 9999 CLR 11/03 A3003 RMK A02 TSNO,KQFU,2017-05-06T15:20:00Z,,,11.0,3.0,250,2,,6.21,30.029528,,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,
KQFT 061520Z AUTO 17002KT 9999 CLR 09/04 A2999 RMK A02 TSNO,KQFT,2017-05-06T15:20:00Z,,,9.0,4.0,170,2,,6.21,29.991142,,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,
KQFB 061520Z AUTO 13002KT 9999 CLR 13/02 A3005 RMK A02 TSNO,KQFB,2017-05-06T15:20:00Z,,,13.0,2.0,130,2,,6.21,30.050198,,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,
KQEY 061520Z AUTO 10003KT 9999 CLR 11/03 A2975 RMK A02 TSNO,KQEY,2017-05-06T15:20:00Z,,,11.0,3.0,100,3,,6.21,29.749016,,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,
KQEX 061520Z AUTO 31003KT 9999 CLR 15/00 A2993 RMK A02 TSNO,KQEX,2017-05-06T15:20:00Z,,,15.0,0.0,310,3,,6.21,29.929134,,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,
KQEW 061520Z AUTO 22002KT 9999 CLR 13/02 A2999 RMK A02 TSNO,KQEW,2017-05-06T15:20:00Z,,,13.0,2.0,220,2,,6.21,29.991142,,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,
KQEV 061520Z AUTO 29002KT 9999 CLR 12/07 A2999 RMK A02 TSNO,KQEV,2017-05-06T15:20:00Z,,,12.0,7.0,290,2,,6.21,29.991142,,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,
KQER 061520Z AUTO 19001KT 9999 CLR 11/M01 A2992 RMK A02 TSNO,KQER,2017-05-06T15:20:00Z,,,11.0,-1.0,190,1,,6.21,29.920275,,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,
KQEQ 061520Z AUTO 19002KT 9999 CLR 09/06 A3003 RMK A02 TSNO,KQEQ,2017-05-06T15:20:00Z,,,9.0,6.0,190,2,,6.21,30.029528,,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,
KQEP 061520Z AUTO 10001KT 9999 CLR 10/04 A3002 RMK A02 TSNO,KQEP,2017-05-06T15:20:00Z,,,10.0,4.0,100,1,,6.21,30.02067,,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,
KQEN 061520Z AUTO 25015G34KT 9999 CLR 07/M05 A2986 RMK A02 TSNO,KQEN,2017-05-06T15:20:00Z,,,7.0,-5.0,250,15,34,6.21,29.861221,,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,
KQEL 061520Z AUTO 23002KT 9999 CLR 11/01 A3005 RMK A02 TSNO,KQEL,2017-05-06T15:20:00Z,,,11.0,1.0,230,2,,6.21,30.050198,,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,
KQEI 061520Z AUTO 13001KT 9999 CLR 10/01 A2996 RMK A02 TSNO,KQEI,2017-05-06T15:20:00Z,,,10.0,1.0,130,1,,6.21,29.958662,,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,
LSZC 061520Z AUTO 05006KT 7000 -RA BKN049 SCT060 12/11 Q1011,LSZC,2017-05-06T15:20:00Z,46.97,8.38,12.0,11.0,50,6,,4.35,29.852362,,,TRUE,,,,,,,-RA,BKN,4900,SCT,6000,,,,,MVFR,,,,,,,,,,,,METAR,450.0
LSZS 061520Z VRB01KT 9999 -RA SCT020 OVC030 05/02 Q1012 RMK T,LSZS,2017-05-06T15:20:00Z,46.53,9.88,5.0,2.0,0,1,,6.21,29.88189,,,,,,,,,,-RA,SCT,2000,OVC,3000,,,,,MVFR,,,,,,,,,,,,METAR,1706.0
LSZR 061520Z AUTO 26011KT 230V290 9999 BKN060 BKN080 15/09 Q1009,LSZR,2017-05-06T15:20:00Z,47.48,9.57,15.0,9.0,260,11,,6.21,29.793306,,,TRUE,,,,,,,,BKN,6000,BKN,8000,,,,,VFR,,,,,,,,,,,,METAR,398.0
LSZG 061520Z 23016KT 8000 RA SCT006 BKN011 OVC029 11/10 Q1011 NOSIG,LSZG,2017-05-06T15:20:00Z,47.17,7.42,11.0,10.0,230,16,,4.97,29.852362,,,,,,TRUE,,,,RA,SCT,600,BKN,1100,OVC,2900,,,MVFR,,,,,,,,,,,,METAR,430.0
LSGS 061520Z 26005KT 7000 RA FEW020 SCT030 OVC070 12/10 Q1012,LSGS,2017-05-06T15:20:00Z,46.22,7.32,12.0,10.0,260,5,,4.35,29.88189,,,,,,,,,,RA,FEW,2000,SCT,3000,OVC,7000,,,MVFR,,,,,,,,,,,,METAR,481.0
LSGC 061520Z 23012KT 190V260 9999 -RA FEW016 SCT021 BKN028 09/06 Q1011,LSGC,2017-05-06T15:20:00Z,47.08,6.8,9.0,6.0,230,12,,6.21,29.852362,,,,,,,,,,-RA,FEW,1600,SCT,2100,BKN,2800,,,MVFR,,,,,,,,,,,,METAR,1027.0
LSZA 061520Z 19003KT 7000 -RA FEW007 SCT042 OVC050 12/11 Q1013 NOSIG,LSZA,2017-05-06T15:20:00Z,46.0,8.92,12.0,11.0,190,3,,4.35,29.911417,,,,,,TRUE,,,,-RA,FEW,700,SCT,4200,OVC,5000,,,MVFR,,,,,,,,,,,,METAR,276.0
LSZB 061520Z AUTO 29006KT 260V330 9999 -RA FEW034 OVC047 11/09 Q1012,LSZB,2017-05-06T15:20:00Z,46.92,7.5,11.0,9.0,290,6,,6.21,29.88189,,,TRUE,,,,,,,-RA,FEW,3400,OVC,4700,,,,,VFR,,,,,,,,,,,,METAR,505.0
LSGG 061520Z 23010KT 9999 VCSH FEW010 SCT045 OVC080 12/10 Q1013 NOSIG,LSGG,2017-05-06T15:20:00Z,46.25,6.12,12.0,10.0,230,10,,6.21,29.911417,,,,,,TRUE,,,,VCSH,FEW,1000,SCT,4500,OVC,8000,,,VFR,,,,,,,,,,,,METAR,416.0
LSZH 061520Z 28005KT 250V310 9999 -RA FEW015 SCT045 BKN062 12/09 Q1011 RERA TEMPO RA,LSZH,2017-05-06T15:20:00Z,47.48,8.53,12.0,9.0,280,5,,6.21,29.852362,,,,,,,,,,-RA,FEW,1500,SCT,4500,BKN,6200,,,VFR,,,,,,,,,,,,METAR,432.0
PKWA 061520Z AUTO 10011KT 10SM SCT019 SCT027 28/24 A2986 RMK AO2 T02770239,PKWA,2017-05-06T15:20:00Z,8.72,167.72,27.7,23.9,100,11,,10.0,29.861221,,,TRUE,TRUE,,,,,,,SCT,1900,SCT,2700,,,,,VFR,,,,,,,,,,,,SPECI,8.0
LGRP 061520Z 25011KT 9999 FEW018 23/15 Q1011 NOSIG,LGRP,2017-05-06T15:20:00Z,36.4,28.08,23.0,15.0,250,11,,6.21,29.852362,,,,,,TRUE,,,,,FEW,1800,,,,,,,VFR,,,,,,,,,,,,METAR,5.0
LGKR 061520Z 30010KT 9999 FEW018 23/10 Q1015 NOSIG,LGKR,2017-05-06T15:20:00Z,39.62,19.92,23.0,10.0,300,10,,6.21,29.970472,,,,,,TRUE,,,,,FEW,1800,,,,,,,VFR,,,,,,,,,,,,METAR,2.0
LGIR 061520Z 29015KT 9999 FEW025 25/18 Q1011 NOSIG,LGIR,2017-05-06T15:20:00Z,35.32,25.17,25.0,18.0,290,15,,6.21,29.852362,,,,,,TRUE,,,,,FEW,2500,,,,,,,VFR,,,,,,,,,,,,METAR,39.0
LGAV 061520Z 06013KT 9999 FEW025 22/08 Q1012 NOSIG,LGAV,2017-05-06T15:20:00Z,37.93,23.95,22.0,8.0,60,13,,6.21,29.88189,,,,,,TRUE,,,,,FEW,2500,,,,,,,VFR,,,,,,,,,,,,METAR,94.0
ENZV 061520Z 30006KT CAVOK 13/06 Q1017 NOSIG,ENZV,2017-05-06T15:20:00Z,58.87,5.62,13.0,6.0,300,6,,6.21,30.029528,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,9.0
ENVA 061520Z 27007KT 9999 FEW025 BKN034 10/06 Q1021 RMK WIND 670FT 29008KT,ENVA,2017-05-06T15:20:00Z,63.47,10.92,10.0,6.0,270,7,,6.21,30.147638,,,,,,,,,,,FEW,2500,BKN,3400,,,,,VFR,,,,,,,,,,,,METAR,17.0
ENOL 061520Z 01014KT 9999 BKN020 07/02 Q1022 NOSIG,ENOL,2017-05-06T15:20:00Z,63.7,9.58,7.0,2.0,10,14,,6.21,30.177166,,,,,,TRUE,,,,,BKN,2000,,,,,,,MVFR,,,,,,,,,,,,METAR,7.0
ENGM 061520Z 05007KT 340V100 CAVOK 20/M02 Q1015 NOSIG,ENGM,2017-05-06T15:20:00Z,60.2,11.1,20.0,-2.0,50,7,,6.21,29.970472,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,204.0
ENDU 061520Z AUTO 28012KT 9999 -SN OVC045/// 01/M03 Q1023 RMK WIND 1100FT 28012KT WIND 2200FT 28015KT,ENDU,2017-05-06T15:20:00Z,69.03,18.55,1.0,-3.0,280,12,,6.21,30.206694,,,TRUE,,,,,,,-SN,OVC,4500,,,,,,,VFR,,,,,,,,,,,,METAR,79.0
ENBO 061520Z 01013KT 9999 FEW030 06/M03 Q1024,ENBO,2017-05-06T15:20:00Z,67.27,14.37,6.0,-3.0,10,13,,6.21,30.236221,,,,,,,,,,,FEW,3000,,,,,,,VFR,,,,,,,,,,,,METAR,13.0
ENBR 061520Z 33010KT CAVOK 17/05 Q1017 NOSIG RMK WIND 1200FT 29007KT,ENBR,2017-05-06T15:20:00Z,60.28,5.22,17.0,5.0,330,10,,6.21,30.029528,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,50.0
ENAN 061520Z AUTO 27009KT 9999 FEW007/// SCT027/// OVC042/// 03/00 Q1024,ENAN,2017-05-06T15:20:00Z,69.28,16.13,3.0,0.0,270,9,,6.21,30.236221,,,TRUE,,,,,,,,FEW,700,SCT,2700,OVC,4200,,,VFR,,,,,,,,,,,,METAR,14.0
ENSF 061520Z AUTO 01023KT 9999NDV BKN008/// ///// Q//// W///S4,ENSF,2017-05-06T15:20:00Z,61.25,1.85,,,10,23,,,,,,TRUE,,,,,,,,BKN,800,,,,,,,,,,,,,,,,,,,METAR,10.0
ENFB 061520Z AUTO 02022KT 9999NDV OVC008/// 08/07 Q1021 W///S4,ENFB,2017-05-06T15:20:00Z,61.2,1.83,8.0,7.0,20,22,,,30.147638,,,TRUE,,,,,,,,OVC,800,,,,,,,,,,,,,,,,,,,METAR,10.0
ENSL 061520Z 35012KT 0050 FG VV001 09/07 Q1019 W08/S/,ENSL,2017-05-06T15:20:00Z,58.37,1.9,9.0,7.0,350,12,,0.03,30.088583,,,,,,,,,,FG,OVX,0,,,,,,,LIFR,,,,,,,,,,,100,METAR,50.0
